status,bed,bath,acre_lot,city,state,house_size,price
1,3.0,2.0,0.12,1,1,920.0,105000.0
1,4.0,2.0,0.08,1,1,1527.0,80000.0
1,2.0,1.0,0.15,2,1,748.0,67000.0
1,4.0,2.0,0.1,3,1,1800.0,145000.0
1,4.0,3.0,0.46,4,1,2520.0,179000.0
1,3.0,1.0,0.2,5,1,2040.0,50000.0
1,3.0,2.0,0.08,3,1,1050.0,71600.0
1,2.0,1.0,0.09,3,1,1092.0,100000.0
1,5.0,3.0,7.46,6,1,5403.0,300000.0
1,3.0,2.0,13.39,7,1,1106.0,89000.0
1,3.0,2.0,0.08,2,1,1045.0,150000.0
1,3.0,2.0,0.1,8,1,4161.0,155000.0
1,5.0,2.0,0.12,9,1,1620.0,79000.0
1,5.0,5.0,0.74,3,1,2677.0,649000.0
1,3.0,2.0,0.08,10,1,1100.0,120000.0
1,4.0,4.0,0.22,11,1,3450.0,235000.0
1,3.0,2.0,0.08,3,1,1500.0,105000.0
1,3.0,2.0,3.88,4,1,4000.0,575000.0
1,6.0,3.0,0.25,12,1,1230.0,140000.0
1,2.0,1.0,0.23,10,1,621.0,50000.0
1,6.0,3.0,0.1,13,1,3000.0,165000.0
1,3.0,1.0,2.0,14,1,1213.0,189000.0
1,3.0,2.0,0.05,10,1,1118.0,122500.0
1,3.0,2.0,0.28,4,1,1500.0,255000.0
1,4.0,3.0,0.3,3,1,3000.0,425000.0
1,4.0,2.0,0.11,15,1,1300.0,93000.0
1,4.0,2.0,0.04,16,1,1080.0,75000.0
1,3.0,2.0,0.69,7,1,2505.0,469000.0
1,6.0,3.0,1.75,17,1,1943.0,189000.0
1,5.0,4.0,0.12,3,1,1600.0,225000.0
1,4.0,2.0,3.08,18,1,2886.0,495000.0
1,1.0,1.0,0.1,3,1,850.0,220000.0
1,3.0,1.0,0.23,10,1,936.0,70500.0
1,3.0,2.0,1.13,13,1,1928.0,305000.0
1,4.0,4.0,4.84,4,1,3690.0,475000.0
1,3.0,4.0,1.94,9,1,2500.0,195000.0
1,4.0,2.0,0.24,6,1,1800.0,120000.0
1,9.0,7.0,0.46,11,1,3709.0,650000.0
1,5.0,3.0,0.16,3,1,3100.0,555000.0
1,3.0,2.0,0.1,20,1,600.0,95000.0
1,3.0,1.0,0.09,20,1,900.0,74000.0
1,4.0,2.0,0.15,20,1,3000.0,139500.0
1,1.0,1.0,0.26,20,1,2100.0,149900.0
1,2.0,2.0,0.24,20,1,1138.0,180000.0
1,3.0,2.0,0.13,20,1,1380.0,249000.0
1,6.0,4.0,0.23,20,1,2500.0,252000.0
1,2.0,1.0,0.07,20,1,813.0,90000.0
1,5.0,3.0,1.78,20,1,2962.0,500000.0
1,4.0,2.0,0.1,20,1,1955.0,339000.0
1,3.0,2.0,0.08,20,1,1200.0,265000.0
1,3.0,4.0,2.0,20,1,1880.0,389000.0
1,3.0,2.0,2.96,20,1,2500.0,575000.0
1,7.0,5.0,0.31,20,1,2775.0,375000.0
1,6.0,5.0,0.1,20,1,2400.0,600000.0
1,3.0,2.0,0.22,21,1,2070.0,215000.0
1,3.0,2.0,0.05,21,1,1184.0,63000.0
1,3.0,2.0,0.22,21,1,1900.0,215000.0
1,3.0,1.0,0.2,21,1,980.0,115000.0
1,4.0,2.0,0.89,21,1,1408.0,99000.0
1,5.0,5.0,0.62,21,1,8460.0,850000.0
1,3.0,2.0,0.11,21,1,1116.0,140000.0
1,4.0,3.0,0.26,21,1,3734.0,499000.0
1,3.0,2.0,0.17,21,1,1500.0,180000.0
1,6.0,3.0,0.49,21,1,2618.0,225900.0
1,4.0,2.0,0.12,21,1,1760.0,260000.0
1,4.0,3.0,0.33,21,1,2950.0,500000.0
1,3.0,2.0,0.21,20,1,1565.0,225000.0
1,4.0,2.0,0.95,21,1,3468.0,425000.0
1,4.0,2.0,10.76,21,1,547.0,300000.0
1,3.0,2.0,0.15,21,1,2280.0,290000.0
1,3.0,4.0,0.2,21,1,4020.0,550000.0
1,6.0,2.0,0.18,21,1,2035.0,234900.0
1,5.0,3.0,0.52,21,1,3267.0,620000.0
1,8.0,3.0,0.19,21,1,3700.0,649900.0
1,5.0,2.0,4.55,22,1,2156.0,98000.0
1,5.0,2.0,5.14,22,1,2156.0,55000.0
1,5.0,2.0,4.86,22,1,1563.0,75000.0
1,3.0,1.0,0.35,22,1,915.0,80000.0
1,8.0,5.0,0.09,23,1,2000.0,125000.0
1,2.0,2.0,0.15,24,1,1393.0,95000.0
1,3.0,2.0,0.08,3,1,1500.0,105000.0
1,3.0,2.0,1.75,25,1,1620.0,330000.0
